Mirror-M1-horizontal-adjuster-points_r1-1,,,,,,,,,,
Originalhalfofreflector,,,,,,Mirroradjuster,,,,
Panel,Adjuster,x,y,z,,Panel2,Adjuster2,X2,Y2,Z2
11121,H1,-2923.01277,2013.6077,-4953.33959,,11181,H1,-2923.01277,-2013.6077,-4953.33959
11121,H2,-2468.05146,2013.61534,-4745.95039,,11181,H2,-2468.05146,-2013.61534,-4745.95039
11121,H3,-2631.71373,2013.62143,-4820.88173,,11181,H3,-2631.71373,-2013.62143,-4820.88173
,,,,,,,,,,
11131,H1,-2915.45661,1342.40623,-4968.44051,,11171,H1,-2915.45661,-1342.40623,-4968.44051
11131,H2,-2460.34743,1342.40969,-4761.37611,,11171,H2,-2460.34743,-1342.40969,-4761.37611
11131,H3,-2624.05811,1342.4147,-4836.20175,,11171,H3,-2624.05811,-1342.4147,-4836.20175
,,,,,,,,,,
11141,H1,-2910.84894,671.20346,-4977.64796,,11161,H1,-2910.84894,-671.20346,-4977.64796
11141,H2,-2455.65544,671.20445,-4770.76902,,11161,H2,-2455.65544,-671.20445,-4770.76902
11141,H3,-2619.39363,671.20734,-4845.53457,,11161,H3,-2619.39363,-671.20734,-4845.53457
,,,,,,,,,,
11151,H1,-2909.29989,0,-4980.74103,,,,,,
11151,H2,-2454.07903,0,-4773.92234,,,,,,
11151,H3,-2617.82615,0,-4848.66842,,,,,,
,,,,,,,,,,
11211,H1,-2250.19484,2684.8118,-4619.38629,,11291,H1,-2250.19484,-2684.8118,-4619.38629
11211,H2,-1797.10707,2684.8209,-4407.9353,,11291,H2,-1797.10707,-2684.8209,-4407.9353
11211,H3,-1960.08267,2684.8304,-4484.34871,,11291,H3,-1960.08267,-2684.8304,-4484.34871
,,,,,,,,,,
11221,H1,-2239.54464,2013.61089,-4640.68109,,11281,H1,-2239.54464,-2013.61089,-4640.68109
11221,H2,-1786.31681,2013.61572,-4429.53054,,11281,H2,-1786.31681,-2013.61572,-4429.53054
11221,H3,-1949.33708,2013.62425,-4505.84876,,11281,H3,-1949.33708,-2013.62425,-4505.84876
,,,,,,,,,,
11231,H1,-2231.7687,1342.40835,-4656.22921,,11271,H1,-2231.7687,-1342.40835,-4656.22921
11231,H2,-1778.45075,1342.41046,-4445.27225,,11271,H2,-1778.45075,-1342.41046,-4445.27225
11231,H3,-1941.49942,1342.41689,-4521.52987,,11271,H3,-1941.49942,-1342.41689,-4521.52987
,,,,,,,,,,
11241,H1,-2227.03632,671.20454,-4665.69143,,11261,H1,-2227.03632,-671.20454,-4665.69143
11241,H2,-1773.66824,671.20514,-4454.84222,,11261,H2,-1773.66824,-671.20514,-4454.84222
11241,H3,-1936.73257,671.20862,-4531.06645,,11261,H3,-1936.73257,-671.20862,-4531.06645
,,,,,,,,,,
11251,H1,-2225.44741,0,-4668.8674,,,,,,
11251,H2,-1772.0633,0,-4458.05269,,,,,,
11251,H3,-1935.13263,0,-4534.2663,,,,,,
,,,,,,,,,,
11311,H1,-1569.74896,2684.81437,-4300.64636,,11391,H1,-1569.74896,-2684.81437,-4300.64636
11311,H2,-1118.51834,2684.81933,-4085.2608,,11391,H2,-1118.51834,-2684.81933,-4085.2608
11311,H3,-1280.81317,2684.83153,-4163.10987,,11391,H3,-1280.81317,-2684.83153,-4163.10987
,,,,,,,,,,
11321,H1,-1558.89789,2013.61269,-4322.34818,,11381,H1,-1558.89789,-2013.61269,-4322.34818
11321,H2,-1107.59569,2013.6151,-4107.11265,,11381,H2,-1107.59569,-2013.6151,-4107.11265
11321,H3,-1269.91149,2013.62533,-4184.91809,,11381,H3,-1269.91149,-2013.62533,-4184.91809
,,,,,,,,,,
11331,H1,-1550.99376,1342.40952,-4338.15648,,11371,H1,-1550.99376,-1342.40952,-4338.15648
11331,H2,-1099.64928,1342.41049,-4123.00965,,11371,H2,-1099.64928,-1342.41049,-4123.00965
11331,H3,-1261.97695,1342.41783,-4200.79041,,11371,H3,-1261.97695,-1342.41783,-4200.79041
,,,,,,,,,,
11341,H1,-1546.1907,671.20514,-4347.76267,,11361,H1,-1546.1907,-671.20514,-4347.76267
11341,H2,-1094.82438,671.20539,-4132.66166,,11361,H2,-1094.82438,-671.20539,-4132.66166
