Mirror-M1-vertical-adjuster-points_r1-1 ,,,,,,,,,,
Original half of reflector ,,,,,,Mirror adjuster ,,,,
Panel ,Adjuster ,x ,y ,z ,,Panel2,Adjuster2,X2,Y2,Z2
11121,V1 ,-2920.42798,1793.69318,-4959.00984,,11181,V1 ,-2925.8778,-2233.50269,-4947.06837
11121,V2 ,-2925.8778,2233.50269,-4947.06837,,11181,V2 ,-2920.42798,-1793.69318,-4959.00984
11121,V3 ,-2465.40503,1793.7044,-4751.74223,,11181,V3 ,-2470.97692,-2233.50669,-4739.53595
11121,V4 ,-2470.97692,2233.50669,-4739.53595,,11181,V4 ,-2465.40503,-1793.7044,-4751.74223
11121,V5 ,-2695.39928,2013.62203,-4849.93818,,11181,V5 ,-2695.39928,-2013.62203,-4849.93818
,,,,,,,,,,
11131,V1 ,-2913.75503,1122.44153,-4972.18428,,11171,V1 ,-2917.45667,-1562.35672,-4964.05438
11131,V2 ,-2917.45667,1562.35672,-4964.05438,,11171,V2 ,-2913.75503,-1122.44153,-4972.18428
11131,V3 ,-2458.60612,1122.44622,-4765.19347,,11171,V3 ,-2462.38446,-1562.35882,-4756.89705
11131,V4 ,-2462.38446,1562.35882,-4756.89705,,11171,V4 ,-2458.60612,-1122.44622,-4765.19347
11131,V5 ,-2687.76365,1342.41534,-4865.21364,,11171,V5 ,-2687.76365,-1342.41534,-4865.21364
,,,,,,,,,,
11141,V1 ,-2910.068,451.20825,-4979.37213,,11161,V1 ,-2911.93901,-891.1912,-4975.2568
11141,V2 ,-2911.93901,891.1912,-4975.2568,,11161,V2 ,-2910.068,-451.20825,-4979.37213
11141,V3 ,-2454.85428,451.20928,-4772.52439,,11161,V3 ,-2456.76224,-891.19204,-4768.3288
11141,V4 ,-2456.76224,891.19204,-4768.3288,,11161,V4 ,-2454.85428,-451.20928,-4772.52439
11141,V5 ,-2683.11048,671.20776,-4874.52101,,11161,V5 ,-2683.11048,-671.20776,-4874.52101
,,,,,,,,,,
11151,V1 ,,,--> ,,11151,V1 ,-2909.45609,-220.00311,-4980.40339
11151,V2 ,-2909.45609,220.00311,-4980.40339,,11151,V2 ,<-- ,,
11151,V3 ,,,--> ,,11151,V3 ,-2454.23352,-220.00324,-4773.57609
11151,V4 ,-2454.23352,220.00324,-4773.57609,,11151,V4 ,<-- ,,
11151,V5 ,-2681.54654,0,-4877.64654,,11151,V5 ,<-- ,,
,,,,,,,,,,
11211,V1 ,-2246.6114,2464.97234,-4627.06345,,11291,V1 ,-2254.05072,-2904.62631,-4611.13964
11211,V2 ,-2254.05072,2904.62631,-4611.13964,,11291,V2 ,-2246.6114,-2464.97234,-4627.06345
11211,V3 ,-1793.46548,2464.98598,-4415.72262,,11291,V3 ,-1801.01797,-2904.63062,-4399.55934
11211,V4 ,-1801.01797,2904.63062,-4399.55934,,11291,V4 ,-1793.46548,-2464.98598,-4415.72262
11211,V5 ,-2023.50456,2684.83109,-4513.97597,,11291,V5 ,-2023.50456,-2684.83109,-4513.97597
,,,,,,,,,,
11221,V1 ,-2236.83376,1793.70153,-4646.50298,,11281,V1 ,-2242.55257,-2233.49922,-4634.23628
11221,V2 ,-2242.55257,2233.49922,-4634.23628,,11281,V2 ,-2236.83376,-1793.70153,-4646.50298
11221,V3 ,-1783.56535,1793.70847,-4435.42462,,11281,V3 ,-1789.3601,-2233.50169,-4422.99716
11221,V4 ,-1789.3601,2233.50169,-4422.99716,,11281,V4 ,-1783.56535,-1793.70847,-4435.42462
11221,V5 ,-2012.77783,2013.62507,-4535.43507,,11281,V5 ,-2012.77783,-2013.62507,-4535.43507
,,,,,,,,,,
11231,V1 ,-2229.98676,1122.44555,-4660.06406,,11271,V1 ,-2233.86488,-1562.35602,-4651.73393
11231,V2 ,-2233.86488,1562.35602,-4651.73393,,11271,V2 ,-2229.98676,-1122.44555,-4660.06406
11231,V3 ,-1776.64229,1122.44835,-4449.14902,,11271,V3 ,-1780.56679,-1562.35726,-4440.72071
11231,V4 ,-1780.56679,1562.35726,-4440.72071,,11271,V4 ,-1776.64229,-1122.44835,-4449.14902
11231,V5 ,-2004.95225,1342.41759,-4551.08985,,11271,V5 ,-2004.95225,-1342.41759,-4551.08985
,,,,,,,,,,
11241,V1 ,-2226.21923,451.20948,-4667.4553,,11261,V1 ,-2228.17773,-891.1917,-4663.24488
11241,V2 ,-2228.17773,891.1917,-4663.24488,,11261,V2 ,-2226.21923,-451.20948,-4667.4553
11241,V3 ,-1772.8365,451.21007,-4456.62275,,11261,V3 ,-1774.81692,-891.19219,-4452.36593
11241,V4 ,-1774.81692,891.19219,-4452.36593,,11261,V4 ,-1772.8365,-451.21007,-4456.62275
11241,V5 ,-2000.19205,671.20904,-4560.61177,,11261,V5 ,-2000.19205,-671.20904,-4560.61177
,,,,,,,,,,
11251,V1 ,,,--> ,,11251,V1 ,-2225.61117,-220.0034,-4668.52234
11251,V2 ,-2225.61117,220.0034,-4668.52234,,11251,V2 ,<-- ,,
11251,V3 ,,,--> ,,11251,V3 ,-1772.22334,-220.00349,-4457.70136
11251,V4 ,-1772.22334,220.00349,-4457.70136,,11251,V4 ,<-- ,,
11251,V5 ,-1998.59415,0,-4563.80691,,11251,V5 ,<-- ,,
,,,,,,,,,,
11311,V1 ,-1566.02672,2464.98134,-4308.44707,,11391,V1 ,-1573.75829,-2904.62093,-4292.25827
11311,V2 ,-1573.75829,2904.62093,-4292.25827,,11391,V2 ,-1566.02672,-2464.98134,-4308.44707
11311,V3 ,-1114.76276,2464.98855,-4093.1169,,11391,V3 ,-1122.55497,-2904.62322,-4076.80303
11311,V4 ,-1122.55497,2904.62322,-4076.80303,,11391,V4 ,-1114.76276,-2464.98855,-4093.1169
11311,V5 ,-1343.97346,2684.83254,-4193.28994,,11391,V5 ,-1343.97346,-2684.83254,-4193.28994
,,,,,,,,,,
11321,V1 ,-1556.08699,1793.70646,-4328.24734,,11381,V1 ,-1562.01908,-2233.49692,-4315.81302
11321,V2 ,-1562.01908,2233.49692,-4315.81302,,11381,V2 ,-1556.08699,-1793.70646,-4328.24734
11321,V3 ,-1104.76211,1793.70979,-4113.04445,,11381,V3 ,-1110.73162,-2233.49809,-4100.53301
11321,V4 ,-1110.73162,2233.49809,-4100.53301,,11381,V4 ,-1104.76211,-1793.70979,-4113.04445
11321,V5 ,-1333.08123,2013.62628,-4215.07807,,11381,V5 ,-1333.08123,-2013.62628,-4215.07807
,,,,,,,,,,
11331,V1 ,-1549.14821,1122.44783,-4342.03497,,11371,V1 ,-1553.16584,-1562.3555,-4333.60799
11331,V2 ,-1553.16584,1562.3555,-4333.60799,,11371,V2 ,-1549.14821,-1122.44783,-4342.03497
11331,V3 ,-1097.78852,1122.44904,-4126.90482,,11371,V3 ,-1101.82726,-1562.35602,-4118.43439
11331,V4 ,-1101.82726,1562.35602,-4118.43439,,11371,V4 ,-1097.78852,-1122.44904,-4126.90482
11331,V5 ,-1325.1522,1342.41856,-4230.9386,,11371,V5 ,-1325.1522,-1342.41856,-4230.9386
,,,,,,,,,,
11341,V1 ,-1545.34499,451.21016,-4349.54477,,11361,V1 ,-1547.37253,-891.19195,-4345.29043
11341,V2 ,-1547.37253,891.19195,-4345.29043,,11361,V2 ,-1545.34499,-451.21016,-4349.54477
11341,V3 ,-1093.96893,451.21038,-4134.44892,,11361,V3 ,-1096.00586,-891.19213,-4130.17525
11341,V4 ,-1096.00586,891.19213,-4130.17525,,11361,V4 ,-1093.96893,-451.21038,-4134.44892
11341,V5 ,-1320.33597,671.20964,-4240.57235,,11361,V5 ,-1320.33597,-671.20964,-4240.57235
,,,,,,,,,,
11351,V1 ,,,--> ,,11351,V1 ,-1544.74918,-220.00357,-4350.63632
11351,V2 ,-1544.74918,220.00357,-4350.63632,,11351,V2 ,<-- ,,
11351,V3 ,,,--> ,,11351,V3 ,-1093.37104,-220.0036,-4135.54504
11351,V4 ,-1093.37104,220.0036,-4135.54504,,11351,V4 ,<-- ,,
11351,V5 ,-1318.72074,0,-4243.80294,,11351,V5 ,<-- ,,
,,,,,,,,,,
