Mirror-M2-horizontal-adjuster-points_r1-1,,,,,,,,,,
Originalhalfofreflector,,,,,Mirroradjuster,,,,,
Panel,Adjuster,x,y,z,,Panel2,Adjuster2,X2,Y2,Z2
12151,H1,-5677.05613,0,-2970.42264,,,,,,
12151,H2,-5549.47323,0,-2486.97398,,,,,,
12151,H3,-5596.04831,0,-2660.84525,,,,,,
,,,,,,,,,,
12161,H1,-5671.06493,701.21587,-2972.42232,,12141,H1,-5671.06493,-701.21587,-2972.42232
12161,H2,-5543.54034,701.21438,-2488.95827,,12141,H2,-5543.54034,-701.21438,-2488.95827
12161,H3,-5590.09683,701.22685,-2662.83462,,12141,H3,-5590.09683,-701.22685,-2662.83462
,,,,,,,,,,
12171,H1,-5652.97369,1402.43459,-2978.45421,,12131,H1,-5652.97369,-1402.43459,-2978.45421
12171,H2,-5525.62434,1402.42942,-2494.94396,,12131,H2,-5525.62434,-1402.42942,-2494.94396
12171,H3,-5572.12469,1402.45564,-2668.83544,,12131,H3,-5572.12469,-1402.45564,-2668.83544
,,,,,,,,,,
12251,H1,-5493.61562,0,-2282.1217,,,,,,
12251,H2,-5358.22776,0,-1800.80047,,,,,,
12251,H3,-5407.58505,0,-1973.90239,,,,,,
,,,,,,,,,,
12261,H1,-5487.69903,701.21401,-2284.09531,,12241,H1,-5487.69903,-701.21401,-2284.09531
12261,H2,-5352.33666,701.21334,-1802.76691,,12241,H2,-5352.33666,-701.21334,-1802.76691
12261,H3,-5401.68727,701.225,-1975.87078,,12241,H3,-5401.68727,-701.225,-1975.87078
,,,,,,,,,,
12271,H1,-5469.83344,1402.42946,-2290.05261,,12231,H1,-5469.83344,-1402.42946,-2290.05261
12271,H2,-5334.54965,1402.42704,-1808.70212,,12231,H2,-5334.54965,-1402.42704,-1808.70212
12271,H3,-5383.87929,1402.45124,-1981.81203,,12231,H3,-5383.87929,-1402.45124,-1981.81203
,,,,,,,,,,
12281,H1,-5439.67743,2103.64854,-2300.10725,,12221,H1,-5439.67743,-2103.64854,-2300.10725
12281,H2,-5304.53097,2103.64307,-1818.71817,,12221,H2,-5304.53097,-2103.64307,-1818.71817
12281,H3,-5353.82287,2103.68124,-1991.83893,,12221,H3,-5353.82287,-2103.68124,-1991.83893
,,,,,,,,,,
12351,H1,-5299.27305,0,-1597.38416,,,,,,
12351,H2,-5156.33283,0,-1118.25151,,,,,,
12351,H3,-5208.39794,0,-1290.55829,,,,,,
,,,,,,,,,,
12361,H1,-5293.3852,701.21312,-1599.34756,,12341,H1,-5293.3852,-701.21312,-1599.34756
