Mirror-M2-vertical-adjuster-points_r1-1,,,,,,,,,,
Original half of reflector,,,,,,Mirror adjuster,,,,
Panel,Adjuster,x,y,z,,Panel2,Adjuster2,X2,Y2,Z2
12151,V1,-5676.45973,220.00955,-2970.59019,,12151,V1,<--,,
12151,V2,,,-->,,12151,V2,-5676.45973,-220.00955,-2970.59019
12151,V3,-5548.87711,220.00941,-2487.12118,,12151,V3,<--,,
12151,V4,,,-->,,12151,V4,-5548.87711,-220.00941,-2487.12118
12151,V5,-5613.96591,0,-2728.51309,,12151,V5,<--,,
,,,,,,,,,,
12161,V1,-5666.63325,921.17932,-2973.60091,,12141,V1,-5674.29307,-481.23038,-2971.582
12161,V2,-5674.29307,481.23038,-2971.582,,12141,V2,-5666.63325,-921.17932,-2973.60091
12161,V3,-5539.14254,921.17794,-2490.10715,,12141,V3,-5546.7348,-481.22879,-2488.10561
12161,V4,-5546.7348,481.22879,-2488.10561,,12141,V4,-5539.14254,-921.17794,-2490.10715
12161,V5,-5608.00635,701.22838,-2730.50421,,12141,V5,-5608.00635,-701.22838,-2730.50421
,,,,,,,,,,
12171,V1,-5644.62565,1622.27753,-2980.66127,,12131,V1,-5660.08648,-1182.54601,-2976.59418
12171,V2,-5660.08648,1182.54601,-2976.59418,,12131,V2,-5644.62565,-1622.27753,-2980.66127
12171,V3,-5517.34353,1622.274,-2497.11162,,12131,V3,-5532.66947,-1182.53919,-2493.07914
12171,V4,-5532.66947,1182.53919,-2493.07914,,12131,V4,-5517.34353,-1622.274,-2497.11162
12171,V5,-5590.01013,1402.45907,-2736.51101,,12131,V5,-5590.01013,-1402.45907,-2736.51101
,,,,,,,,,,
12251,V1,-5493.02871,220.00923,-2282.29635,,12251,V1,<--,,
12251,V2,,,-->,,12251,V2,-5493.02871,-220.00923,-2282.29635
12251,V3,-5357.63805,220.00909,-1800.9568,,12251,V3,<--,,
12251,V4,,,-->,,12251,V4,-5357.63805,-220.00909,-1800.9568
12251,V5,-5426.59247,0,-2041.27233,,12251,V5,<--,,
,,,,,,,,,,
12261,V1,-5483.33766,921.17781,-2285.33126,,12241,V1,-5490.87589,-481.22841,-2283.21195
12261,V2,-5490.87589,481.22841,-2283.21195,,12241,V2,-5483.33766,-921.17781,-2285.33126
12261,V3,-5347.98658,921.17716,-1803.98018,,12241,V3,-5355.49658,-481.22772,-1801.86872
12261,V4,-5355.49658,481.22772,-1801.86872,,12241,V4,-5347.98658,-921.17716,-1803.98018
12261,V5,-5420.69129,701.22615,-2043.24151,,12241,V5,-5420.69129,-701.22615,-2043.24151
,,,,,,,,,,
12271,V1,-5461.61751,1622.2751,-2292.37069,,12231,V1,-5476.83331,-1182.53863,-2288.09654
12271,V2,-5476.83331,1182.53863,-2288.09654,,12231,V2,-5461.61751,-1622.2751,-2292.37069
12271,V3,-5326.36026,1622.27338,-1810.9924,,12231,V3,-5341.51736,-1182.53555,-1806.73455
12271,V4,-5341.51736,1182.53555,-1806.73455,,12231,V4,-5326.36026,-1622.27338,-1810.9924
12271,V5,-5402.87287,1402.45375,-2049.18551,,12231,V5,-5402.87287,-1402.45375,-2049.18551
,,,,,,,,,,
12281,V1,-5427.46167,2323.2948,-2303.5449,,12221,V1,-5450.6265,-1883.93061,-2297.04663
12281,V2,-5450.6265,1883.93061,-2297.04663,,12221,V2,-5427.46167,-2323.2948,-2303.5449
12281,V3,-5292.35877,2323.29138,-1822.12199,,12221,V3,-5315.43077,-1883.92317,-1815.64943
12281,V4,-5315.43077,1883.92317,-1815.64943,,12221,V4,-5292.35877,-2323.29138,-1822.12199
12281,V5,-5372.79815,2103.68541,-2059.21734,,12221,V5,-5372.79815,-2103.68541,-2059.21734
,,,,,,,,,,
12351,V1,-5298.69134,220.0091,-1597.5671,,12351,V1,<--,,
12351,V2,,,-->,,12351,V2,-5298.69134,-220.0091,-1597.5671
12351,V3,-5155.74505,220.00911,-1118.41749,,12351,V3,<--,,
12351,V4,,,-->,,12351,V4,-5155.74505,-220.00911,-1118.41749
12351,V5,-5228.46117,0,-1357.62147,,12351,V5,<--,,
,,,,,,,,,,
12361,V1,-5289.06231,921.17688,-1600.64691,,12341,V1,-5296.53431,-481.22754,-1598.41747
12361,V2,-5296.53431,481.22754,-1598.41747,,12341,V2,-5289.06231,-921.17688,-1600.64691
12361,V3,-5146.10347,921.17698,-1121.50073,,12341,V3,-5153.58658,-481.22773,-1119.26809
12361,V4,-5153.58658,481.22773,-1119.26809,,12341,V4,-5146.10347,-921.17698,-1121.50073
12361,V5,-5222.57235,701.22537,-1359.58518,,12341,V5,-5222.57235,-701.22537,-1359.58518
,,,,,,,,,,
12371,V1,-5267.46839,1622.27274,-1607.71405,,12331,V1,-5282.54633,-1182.53484,-1603.21452
12371,V2,-5282.54633,1182.53484,-1603.21452,,12331,V2,-5267.46839,-1622.27274,-1607.71405
12371,V3,-5124.48845,1622.27284,-1128.57343,,12331,V3,-5139.58455,-1182.53549,-1124.06874
12371,V4,-5139.58455,1182.53549,-1124.06874,,12331,V4,-5124.48845,-1622.27284,-1128.57343
12371,V5,-5204.79532,1402.45143,-1365.51274,,12331,V5,-5204.79532,-1402.45143,-1365.51274
,,,,,,,,,,
12381,V1,-5233.51358,2323.29018,-1618.89791,,12321,V1,-5256.45971,-1883.92143,-1612.04957
12381,V2,-5256.45971,1883.92143,-1612.04957,,12321,V2,-5233.51358,-2323.29018,-1618.89791
12381,V3,-5090.51506,2323.29004,-1139.76171,,12321,V3,-5113.47907,-1883.92224,-1132.9085
12381,V4,-5113.47907,1883.92224,-1132.9085,,12321,V4,-5090.51506,-2323.29004,-1139.76171
12381,V5,-5174.80195,2103.68031,-1375.51346,,12321,V5,-5174.80195,-2103.68031,-1375.51346
,,,,,,,,,,
12391,V1,-5186.59846,3024.21827,-1634.39547,,12311,V1,-5217.79178,-2585.40112,-1625.08607
12391,V2,-5217.79178,2585.40112,-1625.08607,,12311,V2,-5186.59846,-3024.21827,-1634.39547
12391,V3,-5043.59815,3024.21747,-1155.25829,,12311,V3,-5074.80026,-2585.40109,-1145.94694
12391,V4,-5074.80026,2585.40109,-1145.94694,,12311,V4,-5043.59815,-3024.21747,-1155.25829
12391,V5,-5132.05617,2804.91442,-1389.76607,,12311,V5,-5132.05617,-2804.91442,-1389.76607
,,,,,,,,,,
12451,V1,-5093.72455,220.00917,-916.31674,,12451,V1,<--,,
12451,V2,,,-->,,12451,V2,-5093.72455,-220.00917,-916.31674
12451,V3,-4943.26565,220.00929,-439.47244,,12451,V3,<--,,
12451,V4,,,-->,,12451,V4,-4943.26565,-220.00929,-439.47244
12451,V5,-5019.74413,0,-677.50059,,12451,V5,<--,,
,,,,,,,,,,
12461,V1,-5084.08569,921.1771,-919.46491,,12441,V1,-5091.54503,-481.22798,-917.10999
12461,V2,-5091.54503,481.22798,-917.10999,,12441,V2,-5084.08569,-921.1771,-919.46491
12461,V3,-4933.56638,921.17788,-442.63927,,12441,V3,-4941.07282,-481.22899,-440.26926
